Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  740000   -7596.5838   -7593.7122    1.6665729    293.55399    301.78838    6.1245251    24197.353    24197.353 0.0016194457    3179.6816    3418.9242    220.09248  0.036585615 
  745000   -7594.9441   -7593.6488    1.7734366    304.90787    301.89949    5.6804718    24197.353    24197.353 0.0016194457    2885.1351    3401.7387    290.17163   0.03689053 
  750000   -7596.0431   -7595.1209     1.584583    293.59142    299.82318    4.5313833    24197.353    24197.353 0.0016194457    3197.9416    3165.2425     163.9088  0.037074884 
  755000    -7597.579   -7594.1111    1.4889494    291.83486    300.72999    4.7796235    24197.353    24197.353 0.0016194457     2969.531     3298.687    233.59064  0.037216339 
  760000   -7594.6898   -7595.5371    1.6292376    306.21697    300.81471    5.8961464    24197.353    24197.353 0.0016194457    2947.9772    2959.9531    155.14835  0.036609377 
  765000   -7597.1674    -7597.267    1.7771519    300.93686    301.08877    5.0832042    24197.353    24197.353 0.0016194457      2719.89    2637.7072    280.37774  0.035875208 
  770000   -7597.0703   -7597.9751    1.5561582     300.2783    296.92138    5.3944159    24197.353    24197.353 0.0016194457     2719.784    2701.5356    97.788363  0.034921674 
  775000   -7595.2576   -7597.1115    1.6683103    303.43319    297.64172    5.8765686    24197.353    24197.353 0.0016194457    2813.2647    2698.4438    163.87934  0.035691911 
  780000   -7594.2002   -7594.4562    1.5154246    306.44301    300.82137    4.2838404    24197.353    24197.353 0.0016194457    2955.6814     3180.984    216.61604   0.03636262 
  785000   -7595.0251   -7593.9357    1.4072068    299.53061    300.36738    5.7395316    24197.353    24197.353 0.0016194457     3152.042    3360.4994     71.34711  0.036077285 
  790000   -7595.7133   -7596.9192    2.0108618    305.98277    299.51364    5.5571814    24197.353    24197.353 0.0016194457     2726.179    2734.6779    242.91805  0.036012217 
  795000   -7597.9627     -7596.86     1.475549    297.39395    297.52983    5.8330511    24197.353    24197.353 0.0016194457    2561.0398    2827.0971    132.35674  0.035415468 
  800000   -7596.8031   -7597.0772    1.9160409    291.88444    299.02103    5.6523535    24197.353    24197.353 0.0016194457    3140.4473    2755.0193    307.77158  0.035943794 
  805000    -7594.485   -7594.3482    1.7502074     302.1349    298.66288    5.8923434    24197.353    24197.353 0.0016194457    3140.6061    3385.7653    161.07148  0.036879434 
  810000   -7597.3015   -7595.8559    1.4130836    294.61451    300.83799    4.8172091    24197.353    24197.353 0.0016194457    2958.1982    2917.7725    126.95124  0.036373157 
  815000   -7593.0859   -7593.8132    1.4959883    303.94581    300.05314    4.4309127    24197.353    24197.353 0.0016194457    3373.9149    3374.1187    257.18796  0.037032749 
